timestamp,up,down,left,right,fire
201805042124498633,0,0,0,0,0
201805042124498806,0,0,0,0,0
201805042124498973,0,0,0,0,0
201805042124499134,0,0,0,0,0
201805042124499305,0,0,0,0,0
201805042124499638,0,0,0,0,0
201805042124499810,0,0,0,0,0
201805042124499971,0,0,0,0,0
201805042124500138,0,0,0,0,0
201805042124500310,0,0,0,0,0
201805042124500634,0,0,0,0,0
201805042124500805,0,0,0,0,0
201805042124500972,0,0,0,0,0
201805042124501134,0,0,0,0,0
201805042124501309,0,0,0,0,0
201805042124501644,0,0,0,0,0
201805042124501805,0,0,0,0,0
201805042124501966,0,0,0,0,0
201805042124502138,0,0,0,0,0
201805042124502301,0,0,0,0,0
201805042124502639,0,0,0,0,0
201805042124502800,0,0,0,0,0
201805042124502972,0,0,0,0,0
201805042124503139,0,0,0,0,0
201805042124503307,0,0,0,0,0
201805042124503634,0,0,0,0,0
201805042124503806,0,0,0,0,0
201805042124503972,0,0,0,0,0
201805042124504134,0,0,0,0,0
201805042124504299,0,0,0,0,0
201805042124504637,0,0,0,0,0
201805042124504803,0,0,0,0,0
201805042124504969,0,0,0,0,0
201805042124505133,0,0,0,0,0
201805042124505305,0,0,0,0,0
201805042124505633,0,0,0,0,0
201805042124505805,0,0,0,0,0
201805042124505971,0,0,0,0,0
201805042124506139,0,0,0,0,0
201805042124506305,0,0,0,0,0
201805042124506635,0,0,0,0,0
201805042124506815,0,0,0,0,0
201805042124506965,0,0,0,0,0
201805042124507133,0,0,0,0,0
201805042124507305,0,0,0,0,0
201805042124507632,0,0,0,0,0
201805042124507806,0,0,0,0,0
201805042124507971,0,0,0,0,0
201805042124508131,0,0,0,0,0
201805042124508304,0,0,0,0,0
201805042124508633,0,0,0,0,0
201805042124508803,0,0,0,0,0
201805042124508976,0,0,0,0,0
201805042124509133,0,0,0,0,0
201805042124509304,0,0,0,0,0
201805042124509642,0,0,0,0,0
201805042124509807,0,0,0,0,0
201805042124509964,0,0,0,0,0
201805042124510130,0,0,0,0,0
201805042124510303,0,0,0,0,0
201805042124510637,0,0,0,0,0
201805042124510804,0,0,0,0,0
201805042124510966,0,0,0,0,0
201805042124511132,0,0,0,0,0
201805042124511303,0,0,0,0,0
201805042124511637,0,0,0,0,0
201805042124511799,0,0,0,0,0
201805042124511976,0,0,0,0,0
201805042124512131,0,0,0,0,0
201805042124512313,0,0,0,0,0
201805042124512636,0,0,0,0,0
201805042124512801,0,0,0,0,0
201805042124512966,0,0,0,0,0
201805042124513131,0,0,0,0,0
201805042124513304,0,0,0,0,0
201805042124513636,0,0,0,0,0
201805042124513798,0,0,0,0,0
201805042124513967,0,0,0,0,0
201805042124514131,0,0,0,0,0
201805042124514299,0,0,0,0,0
201805042124514637,0,0,0,0,0
201805042124514808,0,0,0,0,0
201805042124514962,0,0,0,0,0
201805042124515133,0,0,0,0,0
201805042124515300,0,0,0,0,0
201805042124515632,0,0,0,0,0
201805042124515798,0,0,0,0,0
201805042124515967,0,0,0,0,0
201805042124516131,0,0,0,0,0
201805042124516299,0,0,0,0,0
201805042124516640,0,0,0,0,0
201805042124516802,0,0,0,0,0
201805042124516966,0,0,0,0,0
201805042124517128,0,0,0,0,0
201805042124517302,0,0,0,0,0
201805042124517630,0,0,0,0,0
201805042124517801,0,0,0,0,0
201805042124517977,0,0,0,0,0
