timestamp,up,down,left,right,fire
201804261802294476,0,0,0,0,0
201804261802294637,0,0,0,0,0
201804261802294800,0,0,0,0,0
201804261802294965,0,0,0,0,0
201804261802295131,0,0,0,0,0
201804261802295465,0,0,0,0,0
201804261802295631,0,0,0,0,0
201804261802295797,0,0,0,0,0
201804261802295969,0,0,0,0,0
201804261802296134,0,0,0,0,0
201804261802296470,0,0,0,0,0
201804261802296631,0,0,0,0,0
201804261802296797,0,0,0,0,0
201804261802296965,0,0,0,0,0
201804261802297136,0,0,0,0,0
201804261802297465,0,0,0,0,0
201804261802297634,0,0,0,0,0
201804261802297797,0,0,0,0,0
201804261802297966,0,0,0,0,0
201804261802298136,0,0,0,0,0
201804261802298466,0,0,0,0,0
201804261802298625,0,0,0,0,0
201804261802298797,0,0,0,0,0
201804261802298970,0,0,0,0,0
201804261802299129,0,0,0,0,0
201804261802299466,0,0,0,0,0
201804261802299633,0,0,0,0,0
201804261802299797,0,0,0,0,0
201804261802299965,0,0,0,0,0
201804261802300130,0,0,0,0,0
201804261802300466,0,0,0,0,0
201804261802300629,0,0,0,0,0
201804261802300797,0,0,0,0,0
201804261802300970,0,0,0,0,0
201804261802301131,0,0,0,0,0
201804261802301462,0,0,0,0,0
201804261802301627,0,0,0,0,0
201804261802301796,0,0,0,0,0
201804261802301968,0,0,0,0,0
201804261802302131,0,0,0,0,0
201804261802302464,0,0,0,0,0
201804261802302629,0,0,0,0,0
201804261802302796,0,0,0,0,0
201804261802302965,0,0,0,0,0
201804261802303130,0,0,1,0,0
201804261802303466,0,0,1,0,0
201804261802303627,0,0,1,0,0
201804261802303796,0,0,1,0,0
201804261802303966,0,0,1,0,0
201804261802304128,0,0,1,0,0
201804261802304465,0,0,1,0,0
201804261802304630,0,0,1,0,0
201804261802304805,0,1,1,0,0
201804261802304961,0,1,1,0,0
201804261802305127,0,1,1,0,0
201804261802305465,0,1,1,0,0
201804261802305627,0,1,1,0,0
201804261802305800,0,1,1,0,0
201804261802305966,0,1,1,0,0
201804261802306129,0,1,1,0,0
201804261802306466,0,1,1,0,0
201804261802306632,0,1,1,0,0
201804261802306795,0,1,1,0,0
201804261802306957,0,1,1,0,0
201804261802307128,0,1,1,0,0
201804261802307463,0,1,1,0,0
201804261802307638,0,1,1,0,0
201804261802307801,0,1,1,0,0
201804261802307960,0,1,1,0,0
201804261802308131,0,1,1,0,0
201804261802308465,0,1,1,0,0
201804261802308632,0,1,1,0,0
201804261802308795,0,1,1,0,0
201804261802308963,0,1,1,0,0
201804261802309133,0,1,1,0,0
201804261802309463,0,1,1,0,0
201804261802309628,0,1,1,0,0
201804261802309795,0,1,1,0,0
201804261802309960,0,1,1,0,0
201804261802310126,0,1,0,0,0
201804261802310464,0,1,0,1,0
201804261802310625,0,1,0,1,0
201804261802310794,0,1,0,1,0
201804261802310961,0,1,0,1,0
201804261802311135,0,1,0,1,0
201804261802311466,0,1,0,1,0
201804261802311627,0,1,0,1,0
201804261802311795,0,1,0,1,0
201804261802311965,0,1,0,1,0
201804261802312124,0,1,0,1,0
201804261802312458,0,1,0,1,0
201804261802312629,0,1,0,1,0
201804261802312799,0,1,0,1,0
201804261802312959,0,1,0,1,0
201804261802313130,0,1,0,1,0
201804261802313465,0,1,0,1,0
201804261802313627,0,1,0,1,0
201804261802313792,0,1,0,1,0
