timestamp,joy,anger,suprise
201805042123297516,0.01015145,0.002227401,0.197099
201805042123297652,0.05953137,0.001076831,0.1989712
201805042123297986,0.07179599,0.001009651,0.1963533
201805042123298489,0.03048986,0.00143673,0.1959394
201805042123298989,0.3819337,0.0005142529,0.1954938
201805042123299655,1.282368,0.0003120069,0.1963519
201805042123300155,2.955055,0.0002199889,0.1978393
201805042123300822,7.305364,0.0001493232,0.1989404
201805042123301490,12.24585,0.000118225,0.2019623
201805042123301992,56.51227,4.770318E-05,0.2034192
201805042123302660,78.08092,3.168796E-05,0.2053597
201805042123303154,93.67344,1.769893E-05,0.2126811
201805042123303827,97.85639,1.114751E-05,0.2147546
201805042123304326,97.65977,1.128501E-05,0.2236909
201805042123304989,98.34135,9.687695E-06,0.2262553
201805042123305485,98.73432,8.66224E-06,0.227991
201805042123306150,98.90186,8.036531E-06,0.2310746
201805042123306822,99.10967,7.441795E-06,0.2332305
201805042123307486,99.00821,7.996896E-06,0.2519615
201805042123308150,99.08256,7.814525E-06,0.2672895
201805042123308649,98.62308,9.468732E-06,0.2702617
201805042123309323,98.70373,9.342385E-06,0.2831289
201805042123309818,98.96012,8.717101E-06,0.2897891
201805042123310486,99.02636,8.669149E-06,0.3072266
201805042123311152,99.2109,8.02498E-06,0.3260902
201805042123311652,99.31841,7.474386E-06,0.3276734
201805042123312323,99.33955,7.358239E-06,0.3434368
201805042123312986,99.50233,6.450013E-06,0.3601931
201805042123313484,99.56729,6.050703E-06,0.3538542
201805042123314150,99.64616,5.632973E-06,0.4078955
201805042123314825,99.67434,5.664455E-06,0.4500176
201805042123315320,99.71542,5.713326E-06,0.5967356
201805042123315985,99.75307,5.632501E-06,0.8185014
201805042123316485,99.79025,5.634563E-06,1.186747
201805042123316982,99.83089,5.66653E-06,1.963614
201805042123317651,99.86157,5.681042E-06,3.141642
201805042123318160,99.8844,5.718276E-06,4.78459
201805042123318821,99.90491,5.687819E-06,7.500001
201805042123319319,99.91306,5.597501E-06,9.175381
201805042123319984,99.92387,5.527836E-06,12.34316
201805042123320483,99.92586,5.515325E-06,13.106
201805042123320985,99.9265,5.471445E-06,13.37005
