timestamp,joy,anger,suprise
201805042127201953,0.001857914,0.005154583,0.2028771
201805042127333078,0.002956262,0.00358398,0.2366425
201805042127333254,0.002121661,0.003412832,0.2486828
201805042127333593,0.002770509,0.003237725,0.2562723
201805042127334083,0.002944748,0.002474262,0.2962263
201805042127334748,0.002694948,0.002586462,0.2816815
201805042127335250,0.003276507,0.002718834,0.2527768
201805042127335915,0.003590517,0.002708849,0.2448481
201805042127336416,0.003465081,0.002818176,0.2417948
201805042127336913,0.003465133,0.002901095,0.2353184
201805042127337582,0.003456295,0.002816002,0.243019
201805042127338094,0.003446796,0.002980874,0.2337617
201805042127338583,0.004397686,0.002832461,0.2273807
201805042127339250,0.003543713,0.003281298,0.2194469
201805042127339749,0.00326435,0.00345331,0.2189401
201805042127340416,0.003086742,0.003561085,0.2168926
201805042127341247,0.003030906,0.003650422,0.2138303
201805042127341748,0.002961222,0.003711904,0.2137547
201805042127342250,0.003157753,0.003633078,0.2114844
201805042127342920,0.002923497,0.00376516,0.2095656
201805042127343413,0.002821897,0.003817254,0.2101204
201805042127344078,0.002943282,0.003744874,0.2070094
201805042127344582,0.003457934,0.003496409,0.207076
201805042127345082,0.00425537,0.003219298,0.2067143
201805042127345752,0.004519006,0.003136812,0.2070061
201805042127346414,0.006478999,0.002701,0.2094855
201805042127346916,0.01283767,0.00205018,0.2101337
201805042127347412,0.01213116,0.002099479,0.211636
201805042127348085,0.01171933,0.002125215,0.2100432
201805042127348744,0.01791319,0.001793339,0.2104989
201805042127349249,0.01976782,0.00171634,0.2092482
201805042127349744,0.02223761,0.00163677,0.2084399
201805042127350425,0.01591817,0.001868409,0.2066895
201805042127351076,0.02096617,0.001663715,0.2061524
201805042127351747,0.01094346,0.00217153,0.207156
201805042127352412,0.005239718,0.002922406,0.2063635
201805042127353081,0.00485788,0.002987453,0.2059396
201805042127353745,0.005679212,0.002808991,0.2062411
201805042127354248,0.004428031,0.003096167,0.2070838
201805042127354746,0.002811352,0.003727543,0.2070722
201805042127355412,0.002694663,0.003800056,0.2093883
201805042127356077,0.002553225,0.00386912,0.2094933
201805042127356580,0.002335503,0.004007007,0.2072176
201805042127357241,0.002259258,0.004044893,0.2066719
201805042127357914,0.002349806,0.003975485,0.2055894
201805042127358579,0.002221144,0.004083278,0.2045936
201805042127359073,0.00218182,0.004109392,0.2035493
201805042127359743,0.002156445,0.004113524,0.2044119
201805042127360407,0.002188428,0.004071445,0.2046557
201805042127360913,0.002256564,0.004007967,0.2055811
201805042127361579,0.00239114,0.003897439,0.2069657
201805042127362083,0.002477124,0.003831481,0.2057672
201805042127362575,0.002426993,0.003845039,0.2062101
201805042127363239,0.002269528,0.003978909,0.2056339
201805042127363911,0.002181531,0.004054471,0.2039743
201805042127364578,0.002185256,0.004047066,0.2046363
201805042127365239,0.00218886,0.004063234,0.2034704
201805042127365909,0.002085208,0.004139946,0.2029438
201805042127366577,0.00200953,0.004194248,0.2034214
201805042127367081,0.001989546,0.004225894,0.2029271
201805042127367578,0.001956958,0.004246408,0.2035066
201805042127368239,0.001932546,0.004310554,0.2025442
201805042127368744,0.001932858,0.004288883,0.2033319
201805042127369238,0.00197397,0.004270534,0.2028544
201805042127369907,0.001927571,0.004317272,0.2021247
201805042127370577,0.001925293,0.004326793,0.2023879
201805042127371244,0.001953095,0.004311577,0.2022093
201805042127371905,0.001922251,0.004349899,0.2015443
201805042127372575,0.001892222,0.004385541,0.2016416
201805042127373243,0.001893084,0.004377822,0.2019138
201805042127373904,0.001901096,0.004365504,0.2024743
201805042127374580,0.001896481,0.004341552,0.203159
201805042127375237,0.001880289,0.00433988,0.2028936
201805042127375904,0.001879004,0.004352048,0.2027567
201805042127376407,0.00187318,0.00435849,0.203146
201805042127377075,0.001884285,0.004334528,0.2035448
201805042127377746,0.001890496,0.004329513,0.2032236
201805042127378239,0.001886556,0.004329009,0.2032455
201805042127378904,0.001877041,0.00435918,0.2026214
201805042127379589,0.001875107,0.004340079,0.2042522
201805042127380239,0.001873707,0.004345591,0.203843
201805042127380906,0.001888105,0.004347755,0.2031089
201805042127381569,0.001877383,0.004337857,0.2033806
201805042127382073,0.001878986,0.004336144,0.2035273
201805042127382741,0.00188803,0.004319216,0.2038427
201805042127383244,0.001887614,0.00429778,0.204657
201805042127383905,0.001880605,0.004325497,0.2034576
201805042127384403,0.001894142,0.004277178,0.2049115
201805042127385072,0.001877639,0.00430399,0.2044716
201805042127385736,0.001878371,0.00431602,0.2042318
201805042127386405,0.001884826,0.004264738,0.2055446
201805042127387076,0.001880101,0.004272791,0.2049747
201805042127387572,0.00189378,0.004279299,0.204483
201805042127388238,0.00188449,0.004298977,0.204413
201805042127388735,0.001875869,0.004293008,0.2049198
201805042127389410,0.001883577,0.004240589,0.2074011
201805042127390073,0.001870988,0.004277602,0.205264
201805042127390574,0.0018816,0.004283006,0.2052144
201805042127391236,0.001871807,0.004268071,0.2053689
201805042127391738,0.001872857,0.004293856,0.2046774
201805042127392404,0.001879932,0.004273403,0.204738
201805042127393071,0.001863484,0.004281687,0.2040872
201805042127393571,0.001869185,0.004275016,0.2040798
201805042127394072,0.001877879,0.004293741,0.2038532
201805042127394740,0.001876975,0.004306002,0.2036519
201805042127395236,0.001875856,0.00427222,0.2052298
201805042127395737,0.001879531,0.004260568,0.205534
201805042127396406,0.001884966,0.004271117,0.2050872
201805042127397069,0.00188605,0.004229034,0.2066385
201805042127397734,0.001863173,0.004224197,0.2071224
201805042127398402,0.001860338,0.004182801,0.208297
201805042127399070,0.001853101,0.004231459,0.2071836
201805042127399566,0.001850035,0.004227627,0.2066094
201805042127400236,0.001851933,0.004262462,0.205601
201805042127400738,0.001858128,0.004283925,0.204433
201805042127401235,0.001856212,0.004282961,0.2044153
201805042127401733,0.001858428,0.00426917,0.2054349
201805042127402402,0.001854761,0.004300884,0.2040699
201805042127403069,0.001858601,0.004311376,0.20404
201805042127403734,0.001854952,0.004286945,0.2049482
201805042127404413,0.001855276,0.004281393,0.2045705
